number of Bacteria : 
{59810}
---------
number of Eukaryota : 
{36377}
---------
number of Archaea : 
{2207}
---------
shape of dataframe : (98394, 12927)
Epoch [1/10], Validation Accuracy: 96.4834%
Epoch [2/10], Training Loss: 0.0766
Epoch [2/10], Validation Loss: 0.0647
Epoch [2/10], Validation Accuracy: 97.3575%
Epoch [3/10], Training Loss: 0.0589
Epoch [3/10], Validation Loss: 0.0446
Epoch [3/10], Validation Accuracy: 98.9023%
Epoch [4/10], Training Loss: 0.0385
Epoch [4/10], Validation Loss: 0.0371
Epoch [4/10], Validation Accuracy: 99.0548%
Epoch [5/10], Training Loss: 0.0443
Epoch [5/10], Validation Loss: 0.0326
Epoch [5/10], Validation Accuracy: 99.1666%
Epoch [6/10], Training Loss: 0.0277
Epoch [6/10], Validation Loss: 0.0307
Epoch [6/10], Validation Accuracy: 99.2682%
Epoch [7/10], Training Loss: 0.0526
Epoch [7/10], Validation Loss: 0.0292
Epoch [7/10], Validation Accuracy: 99.3292%
Epoch [8/10], Training Loss: 0.0240
Epoch [8/10], Validation Loss: 0.0279
Epoch [8/10], Validation Accuracy: 99.4105%
Epoch [9/10], Training Loss: 0.0227
Epoch [9/10], Validation Loss: 0.0263
Epoch [9/10], Validation Accuracy: 99.4715%
Epoch [10/10], Training Loss: 0.0171
Epoch [10/10], Validation Loss: 0.0248
Epoch [10/10], Validation Accuracy: 99.5121%
Got to iteration 7 in 104.80748653411865 seconds
Epoch [1/10], Training Loss: 0.1801
Epoch [1/10], Validation Loss: 0.1235
Epoch [1/10], Validation Accuracy: 96.2801%
Epoch [2/10], Training Loss: 0.0850
Epoch [2/10], Validation Loss: 0.0685
Epoch [2/10], Validation Accuracy: 97.1847%
Epoch [3/10], Training Loss: 0.0467
Epoch [3/10], Validation Loss: 0.0447
Epoch [3/10], Validation Accuracy: 98.3128%
Epoch [4/10], Training Loss: 0.0368
Epoch [4/10], Validation Loss: 0.0338
Epoch [4/10], Validation Accuracy: 98.9938%
Epoch [5/10], Training Loss: 0.0932
Epoch [5/10], Validation Loss: 0.0279
Epoch [5/10], Validation Accuracy: 99.1869%
Epoch [6/10], Training Loss: 0.0567
Epoch [6/10], Validation Loss: 0.0240
Epoch [6/10], Validation Accuracy: 99.3495%
Epoch [7/10], Training Loss: 0.0285
Epoch [7/10], Validation Loss: 0.0212
Epoch [7/10], Validation Accuracy: 99.4410%
Epoch [8/10], Training Loss: 0.0442
Epoch [8/10], Validation Loss: 0.0200
Epoch [8/10], Validation Accuracy: 99.5121%
Epoch [9/10], Training Loss: 0.0574
Epoch [9/10], Validation Loss: 0.0183
Epoch [9/10], Validation Accuracy: 99.5935%
Epoch [10/10], Training Loss: 0.0135
Epoch [10/10], Validation Loss: 0.0173
Epoch [10/10], Validation Accuracy: 99.6239%
Got to iteration 8 in 119.34341144561768 seconds
Epoch [1/10], Training Loss: 0.1710
Epoch [1/10], Validation Loss: 0.1194
Epoch [1/10], Validation Accuracy: 96.5749%
Epoch [2/10], Training Loss: 0.1052
Epoch [2/10], Validation Loss: 0.0619
Epoch [2/10], Validation Accuracy: 97.4388%
Epoch [3/10], Training Loss: 0.0583
Epoch [3/10], Validation Loss: 0.0404
Epoch [3/10], Validation Accuracy: 99.0040%
Epoch [4/10], Training Loss: 0.0296
Epoch [4/10], Validation Loss: 0.0333
Epoch [4/10], Validation Accuracy: 99.1666%
Epoch [5/10], Training Loss: 0.0267
Epoch [5/10], Validation Loss: 0.0298
Epoch [5/10], Validation Accuracy: 99.3292%
Epoch [6/10], Training Loss: 0.0241
Epoch [6/10], Validation Loss: 0.0276
Epoch [6/10], Validation Accuracy: 99.4918%
Epoch [7/10], Training Loss: 0.0373
Epoch [7/10], Validation Loss: 0.0259
Epoch [7/10], Validation Accuracy: 99.5630%
Epoch [8/10], Training Loss: 0.0206
Epoch [8/10], Validation Loss: 0.0248
Epoch [8/10], Validation Accuracy: 99.5731%
Epoch [9/10], Training Loss: 0.0207
Epoch [9/10], Validation Loss: 0.0240
Epoch [9/10], Validation Accuracy: 99.5935%
Epoch [10/10], Training Loss: 0.0312
Epoch [10/10], Validation Loss: 0.0232
Epoch [10/10], Validation Accuracy: 99.6036%
Got to iteration 9 in 133.93936586380005 seconds
Epoch [1/10], Training Loss: 0.1607
Epoch [1/10], Validation Loss: 0.1107
Epoch [1/10], Validation Accuracy: 96.8493%
Epoch [2/10], Training Loss: 0.0647
Epoch [2/10], Validation Loss: 0.0535
Epoch [2/10], Validation Accuracy: 98.3637%
Epoch [3/10], Training Loss: 0.0657
Epoch [3/10], Validation Loss: 0.0363
Epoch [3/10], Validation Accuracy: 98.9735%
Epoch [4/10], Training Loss: 0.0448
Epoch [4/10], Validation Loss: 0.0303
Epoch [4/10], Validation Accuracy: 99.1158%
Epoch [5/10], Training Loss: 0.0416
Epoch [5/10], Validation Loss: 0.0264
Epoch [5/10], Validation Accuracy: 99.2682%
Epoch [6/10], Training Loss: 0.0328
Epoch [6/10], Validation Loss: 0.0241
Epoch [6/10], Validation Accuracy: 99.3800%
Epoch [7/10], Training Loss: 0.0379
Epoch [7/10], Validation Loss: 0.0222
Epoch [7/10], Validation Accuracy: 99.4817%
Epoch [8/10], Training Loss: 0.0112
Epoch [8/10], Validation Loss: 0.0212
Epoch [8/10], Validation Accuracy: 99.5223%
Epoch [9/10], Training Loss: 0.0123
Epoch [9/10], Validation Loss: 0.0200
Epoch [9/10], Validation Accuracy: 99.5731%
Epoch [10/10], Training Loss: 0.0182
Epoch [10/10], Validation Loss: 0.0198
Epoch [10/10], Validation Accuracy: 99.5935%
Got to iteration 10 in 148.478773355484 seconds
Epoch [1/10], Training Loss: 0.1560
Epoch [1/10], Validation Loss: 0.1053
Epoch [1/10], Validation Accuracy: 97.2761%
Epoch [2/10], Training Loss: 0.0795
Epoch [2/10], Validation Loss: 0.0465
Epoch [2/10], Validation Accuracy: 98.6889%
Epoch [3/10], Training Loss: 0.0541
Epoch [3/10], Validation Loss: 0.0324
Epoch [3/10], Validation Accuracy: 99.1666%
Epoch [4/10], Training Loss: 0.0458
Epoch [4/10], Validation Loss: 0.0271
Epoch [4/10], Validation Accuracy: 99.2885%
Epoch [5/10], Training Loss: 0.0308
Epoch [5/10], Validation Loss: 0.0243
Epoch [5/10], Validation Accuracy: 99.4613%
Epoch [6/10], Training Loss: 0.0574
Epoch [6/10], Validation Loss: 0.0223
Epoch [6/10], Validation Accuracy: 99.5121%
Epoch [7/10], Training Loss: 0.0525
Epoch [7/10], Validation Loss: 0.0209
Epoch [7/10], Validation Accuracy: 99.5630%
Epoch [8/10], Training Loss: 0.0489
Epoch [8/10], Validation Loss: 0.0199
Epoch [8/10], Validation Accuracy: 99.5731%
Epoch [9/10], Training Loss: 0.0365
Epoch [9/10], Validation Loss: 0.0190
Epoch [9/10], Validation Accuracy: 99.6036%
Epoch [10/10], Training Loss: 0.0147
Epoch [10/10], Validation Loss: 0.0184
Epoch [10/10], Validation Accuracy: 99.6239%
Got to iteration 11 in 163.02899146080017 seconds
Epoch [1/10], Training Loss: 0.1940
Epoch [1/10], Validation Loss: 0.1348
Epoch [1/10], Validation Accuracy: 96.2090%
Epoch [2/10], Training Loss: 0.0800
Epoch [2/10], Validation Loss: 0.0676
Epoch [2/10], Validation Accuracy: 97.3778%
Epoch [3/10], Training Loss: 0.0657
Epoch [3/10], Validation Loss: 0.0391
Epoch [3/10], Validation Accuracy: 98.7804%
Epoch [4/10], Training Loss: 0.0480
Epoch [4/10], Validation Loss: 0.0289
Epoch [4/10], Validation Accuracy: 99.2682%
Epoch [5/10], Training Loss: 0.0494
Epoch [5/10], Validation Loss: 0.0238
Epoch [5/10], Validation Accuracy: 99.3699%
Epoch [6/10], Training Loss: 0.0460
Epoch [6/10], Validation Loss: 0.0214
Epoch [6/10], Validation Accuracy: 99.4817%
Epoch [7/10], Training Loss: 0.0209
Epoch [7/10], Validation Loss: 0.0185
Epoch [7/10], Validation Accuracy: 99.5731%
Epoch [8/10], Training Loss: 0.0230
Epoch [8/10], Validation Loss: 0.0172
Epoch [8/10], Validation Accuracy: 99.6341%
Epoch [9/10], Training Loss: 0.0292
Epoch [9/10], Validation Loss: 0.0160
Epoch [9/10], Validation Accuracy: 99.6544%
Epoch [10/10], Training Loss: 0.0193
Epoch [10/10], Validation Loss: 0.0147
Epoch [10/10], Validation Accuracy: 99.7053%
Got to iteration 12 in 177.67853307724 seconds
Epoch [1/10], Training Loss: 0.1652
Epoch [1/10], Validation Loss: 0.1060
Epoch [1/10], Validation Accuracy: 97.0322%
Epoch [2/10], Training Loss: 0.0967
Epoch [2/10], Validation Loss: 0.0492
Epoch [2/10], Validation Accuracy: 98.3433%
Epoch [3/10], Training Loss: 0.0784
Epoch [3/10], Validation Loss: 0.0315
Epoch [3/10], Validation Accuracy: 99.1463%
Epoch [4/10], Training Loss: 0.0316
Epoch [4/10], Validation Loss: 0.0263
Epoch [4/10], Validation Accuracy: 99.2581%
Epoch [5/10], Training Loss: 0.0223
Epoch [5/10], Validation Loss: 0.0222
Epoch [5/10], Validation Accuracy: 99.4105%
Epoch [6/10], Training Loss: 0.0282
Epoch [6/10], Validation Loss: 0.0202
Epoch [6/10], Validation Accuracy: 99.5121%
Epoch [7/10], Training Loss: 0.0213
Epoch [7/10], Validation Loss: 0.0186
Epoch [7/10], Validation Accuracy: 99.6036%
Epoch [8/10], Training Loss: 0.0243
Epoch [8/10], Validation Loss: 0.0174
Epoch [8/10], Validation Accuracy: 99.6443%
Epoch [9/10], Training Loss: 0.0182
Epoch [9/10], Validation Loss: 0.0168
Epoch [9/10], Validation Accuracy: 99.6748%
Epoch [10/10], Training Loss: 0.0202
Epoch [10/10], Validation Loss: 0.0163
Epoch [10/10], Validation Accuracy: 99.6748%
Got to iteration 13 in 192.295401096344 seconds
Epoch [1/10], Training Loss: 0.1851
Epoch [1/10], Validation Loss: 0.1146
Epoch [1/10], Validation Accuracy: 96.9103%
Epoch [2/10], Training Loss: 0.0925
Epoch [2/10], Validation Loss: 0.0575
Epoch [2/10], Validation Accuracy: 97.7437%
Epoch [3/10], Training Loss: 0.0635
Epoch [3/10], Validation Loss: 0.0388
Epoch [3/10], Validation Accuracy: 99.0446%
Epoch [4/10], Training Loss: 0.0460
Epoch [4/10], Validation Loss: 0.0324
Epoch [4/10], Validation Accuracy: 99.1767%
Epoch [5/10], Training Loss: 0.0529
Epoch [5/10], Validation Loss: 0.0288
Epoch [5/10], Validation Accuracy: 99.3190%
Epoch [6/10], Training Loss: 0.0465
Epoch [6/10], Validation Loss: 0.0258
Epoch [6/10], Validation Accuracy: 99.4207%
Epoch [7/10], Training Loss: 0.0214
Epoch [7/10], Validation Loss: 0.0248
Epoch [7/10], Validation Accuracy: 99.4613%
Epoch [8/10], Training Loss: 0.0233
Epoch [8/10], Validation Loss: 0.0230
Epoch [8/10], Validation Accuracy: 99.5630%
Epoch [9/10], Training Loss: 0.0356
Epoch [9/10], Validation Loss: 0.0223
Epoch [9/10], Validation Accuracy: 99.6138%
Epoch [10/10], Training Loss: 0.0336
Epoch [10/10], Validation Loss: 0.0214
Epoch [10/10], Validation Accuracy: 99.6341%
Got to iteration 14 in 206.93054938316345 seconds
Epoch [1/10], Training Loss: 0.1471
Epoch [1/10], Validation Loss: 0.1179
Epoch [1/10], Validation Accuracy: 96.8594%
Epoch [2/10], Training Loss: 0.0969
Epoch [2/10], Validation Loss: 0.0567
Epoch [2/10], Validation Accuracy: 98.1705%
Epoch [3/10], Training Loss: 0.0761
Epoch [3/10], Validation Loss: 0.0380
Epoch [3/10], Validation Accuracy: 99.0040%
Epoch [4/10], Training Loss: 0.0497
Epoch [4/10], Validation Loss: 0.0310
Epoch [4/10], Validation Accuracy: 99.1056%
Epoch [5/10], Training Loss: 0.0486
Epoch [5/10], Validation Loss: 0.0272
Epoch [5/10], Validation Accuracy: 99.2885%
Epoch [6/10], Training Loss: 0.0450
Epoch [6/10], Validation Loss: 0.0249
Epoch [6/10], Validation Accuracy: 99.4308%
Epoch [7/10], Training Loss: 0.0164
Epoch [7/10], Validation Loss: 0.0235
Epoch [7/10], Validation Accuracy: 99.5223%
Epoch [8/10], Training Loss: 0.0260
Epoch [8/10], Validation Loss: 0.0219
Epoch [8/10], Validation Accuracy: 99.5935%
Epoch [9/10], Training Loss: 0.0440
Epoch [9/10], Validation Loss: 0.0213
Epoch [9/10], Validation Accuracy: 99.5935%
Epoch [10/10], Training Loss: 0.0226
Epoch [10/10], Validation Loss: 0.0199
Epoch [10/10], Validation Accuracy: 99.6443%
Got to iteration 15 in 221.50538206100464 seconds
Epoch [1/10], Training Loss: 0.1935
Epoch [1/10], Validation Loss: 0.1307
Epoch [1/10], Validation Accuracy: 95.9244%
Epoch [2/10], Training Loss: 0.0790
Epoch [2/10], Validation Loss: 0.0650
Epoch [2/10], Validation Accuracy: 97.4388%
Epoch [3/10], Training Loss: 0.0674
Epoch [3/10], Validation Loss: 0.0418
Epoch [3/10], Validation Accuracy: 98.7092%
Epoch [4/10], Training Loss: 0.0438
Epoch [4/10], Validation Loss: 0.0340
Epoch [4/10], Validation Accuracy: 99.1158%
Epoch [5/10], Training Loss: 0.0266
Epoch [5/10], Validation Loss: 0.0295
Epoch [5/10], Validation Accuracy: 99.2276%
Epoch [6/10], Training Loss: 0.0196
Epoch [6/10], Validation Loss: 0.0271
Epoch [6/10], Validation Accuracy: 99.3190%
Epoch [7/10], Training Loss: 0.0259
Epoch [7/10], Validation Loss: 0.0247
Epoch [7/10], Validation Accuracy: 99.4613%
Epoch [8/10], Training Loss: 0.0261
Epoch [8/10], Validation Loss: 0.0221
Epoch [8/10], Validation Accuracy: 99.5020%
Epoch [9/10], Training Loss: 0.0157
Epoch [9/10], Validation Loss: 0.0212
Epoch [9/10], Validation Accuracy: 99.5833%
Epoch [10/10], Training Loss: 0.0236
Epoch [10/10], Validation Loss: 0.0207
Epoch [10/10], Validation Accuracy: 99.6036%
Got to iteration 16 in 236.03335285186768 seconds
Epoch [1/10], Training Loss: 0.1715
Epoch [1/10], Validation Loss: 0.1263
Epoch [1/10], Validation Accuracy: 96.3817%
Epoch [2/10], Training Loss: 0.1038
Epoch [2/10], Validation Loss: 0.0684
Epoch [2/10], Validation Accuracy: 97.2050%
Epoch [3/10], Training Loss: 0.1136
Epoch [3/10], Validation Loss: 0.0437
Epoch [3/10], Validation Accuracy: 98.5771%
Epoch [4/10], Training Loss: 0.0499
Epoch [4/10], Validation Loss: 0.0338
Epoch [4/10], Validation Accuracy: 99.1361%
Epoch [5/10], Training Loss: 0.0497
Epoch [5/10], Validation Loss: 0.0292
Epoch [5/10], Validation Accuracy: 99.2784%
Epoch [6/10], Training Loss: 0.0195
Epoch [6/10], Validation Loss: 0.0253
Epoch [6/10], Validation Accuracy: 99.3800%
Epoch [7/10], Training Loss: 0.0320
Epoch [7/10], Validation Loss: 0.0239
Epoch [7/10], Validation Accuracy: 99.4207%
Epoch [8/10], Training Loss: 0.0136
Epoch [8/10], Validation Loss: 0.0217
Epoch [8/10], Validation Accuracy: 99.5020%
Epoch [9/10], Training Loss: 0.0189
Epoch [9/10], Validation Loss: 0.0203
Epoch [9/10], Validation Accuracy: 99.6138%
Epoch [10/10], Training Loss: 0.0111
Epoch [10/10], Validation Loss: 0.0190
Epoch [10/10], Validation Accuracy: 99.6544%
Got to iteration 17 in 250.70794367790222 seconds
Epoch [1/10], Training Loss: 0.1814
Epoch [1/10], Validation Loss: 0.1282
Epoch [1/10], Validation Accuracy: 96.2191%
Epoch [2/10], Training Loss: 0.0581
Epoch [2/10], Validation Loss: 0.0673
Epoch [2/10], Validation Accuracy: 97.1237%
Epoch [3/10], Training Loss: 0.0597
Epoch [3/10], Validation Loss: 0.0432
Epoch [3/10], Validation Accuracy: 98.8922%
Epoch [4/10], Training Loss: 0.0738
Epoch [4/10], Validation Loss: 0.0351
Epoch [4/10], Validation Accuracy: 99.1056%
Epoch [5/10], Training Loss: 0.0501
Epoch [5/10], Validation Loss: 0.0310
Epoch [5/10], Validation Accuracy: 99.2174%
Epoch [6/10], Training Loss: 0.0495
Epoch [6/10], Validation Loss: 0.0275
Epoch [6/10], Validation Accuracy: 99.4003%
Epoch [7/10], Training Loss: 0.0304
Epoch [7/10], Validation Loss: 0.0246
Epoch [7/10], Validation Accuracy: 99.5426%
Epoch [8/10], Training Loss: 0.0180
Epoch [8/10], Validation Loss: 0.0232
Epoch [8/10], Validation Accuracy: 99.5630%
Epoch [9/10], Training Loss: 0.0452
Epoch [9/10], Validation Loss: 0.0222
Epoch [9/10], Validation Accuracy: 99.5935%
Epoch [10/10], Training Loss: 0.0311
Epoch [10/10], Validation Loss: 0.0214
Epoch [10/10], Validation Accuracy: 99.5935%
Got to iteration 18 in 265.2852351665497 seconds
Epoch [1/10], Training Loss: 0.2072
Epoch [1/10], Validation Loss: 0.1405
Epoch [1/10], Validation Accuracy: 96.4021%
Epoch [2/10], Training Loss: 0.0969
Epoch [2/10], Validation Loss: 0.0690
Epoch [2/10], Validation Accuracy: 97.4794%
Epoch [3/10], Training Loss: 0.0852
Epoch [3/10], Validation Loss: 0.0451
Epoch [3/10], Validation Accuracy: 98.7600%
Epoch [4/10], Training Loss: 0.0861
Epoch [4/10], Validation Loss: 0.0359
Epoch [4/10], Validation Accuracy: 99.1564%
Epoch [5/10], Training Loss: 0.0289
Epoch [5/10], Validation Loss: 0.0317
Epoch [5/10], Validation Accuracy: 99.2377%
Epoch [6/10], Training Loss: 0.0244
Epoch [6/10], Validation Loss: 0.0282
Epoch [6/10], Validation Accuracy: 99.4003%
Epoch [7/10], Training Loss: 0.0494
Epoch [7/10], Validation Loss: 0.0262
Epoch [7/10], Validation Accuracy: 99.5223%
Epoch [8/10], Training Loss: 0.0326
Epoch [8/10], Validation Loss: 0.0247
Epoch [8/10], Validation Accuracy: 99.5630%
Epoch [9/10], Training Loss: 0.0302
Epoch [9/10], Validation Loss: 0.0235
Epoch [9/10], Validation Accuracy: 99.5833%
Epoch [10/10], Training Loss: 0.0305
Epoch [10/10], Validation Loss: 0.0226
Epoch [10/10], Validation Accuracy: 99.6341%
Got to iteration 19 in 279.9650433063507 seconds
Epoch [1/10], Training Loss: 0.1600
Epoch [1/10], Validation Loss: 0.1104
Epoch [1/10], Validation Accuracy: 96.6968%
Epoch [2/10], Training Loss: 0.0953
Epoch [2/10], Validation Loss: 0.0517
Epoch [2/10], Validation Accuracy: 98.3128%
Epoch [3/10], Training Loss: 0.0606
Epoch [3/10], Validation Loss: 0.0364
Epoch [3/10], Validation Accuracy: 99.0345%
Epoch [4/10], Training Loss: 0.0352
Epoch [4/10], Validation Loss: 0.0303
Epoch [4/10], Validation Accuracy: 99.1259%
Epoch [5/10], Training Loss: 0.0278
Epoch [5/10], Validation Loss: 0.0263
Epoch [5/10], Validation Accuracy: 99.3394%
Epoch [6/10], Training Loss: 0.0328
Epoch [6/10], Validation Loss: 0.0235
Epoch [6/10], Validation Accuracy: 99.4817%
Epoch [7/10], Training Loss: 0.0110
Epoch [7/10], Validation Loss: 0.0219
Epoch [7/10], Validation Accuracy: 99.5426%
Epoch [8/10], Training Loss: 0.0197
